date,core_pce,rebased_core_pce
01/10/2007,86.576,98.51391639
01/11/2007,86.746,98.70735759
01/12/2007,86.92,98.90535036
01/01/2008,87.093,99.10220523
01/02/2008,87.178,99.19892583
01/03/2008,87.349,99.39350493
01/04/2008,87.4,99.45153729
01/05/2008,87.559,99.63246171
01/06/2008,87.76,99.86117749
01/07/2008,87.918,100.040964
01/08/2008,88.026,100.1638561
01/09/2008,88.116,100.2662661
01/10/2008,87.991,100.1240299
01/11/2008,87.952,100.0796523
01/12/2008,87.909,100.030723
01/01/2009,87.882,100
01/02/2009,87.952,100.0796523
01/03/2009,88.015,100.1513393
01/04/2009,88.211,100.3743656
01/05/2009,88.279,100.4517421
01/06/2009,88.392,100.5803236
01/07/2009,88.468,100.6668032
01/08/2009,88.599,100.8158667
01/09/2009,88.755,100.9933775
01/10/2009,89.082,101.3654673
01/11/2009,89.16,101.4542227
01/12/2009,89.236,101.5407023
01/01/2010,89.368,101.6909037
01/02/2010,89.446,101.7796591
01/03/2010,89.579,101.9309984
01/04/2010,89.625,101.9833413
01/05/2010,89.724,102.0959924
01/06/2010,89.767,102.1449216
01/07/2010,89.769,102.1471974
01/08/2010,89.855,102.2450559
01/09/2010,89.906,102.3030882
01/10/2010,90.043,102.4589791
01/11/2010,90.16,102.5921122
01/12/2010,90.179,102.613732
01/01/2011,90.372,102.8333447
01/02/2011,90.53,103.0131312
01/03/2011,90.667,103.1690221
01/04/2011,90.875,103.4057031
01/05/2011,91.091,103.6514872
01/06/2011,91.191,103.7652762
01/07/2011,91.326,103.9188912
01/08/2011,91.508,104.1259871
01/09/2011,91.57,104.1965363
01/10/2011,91.614,104.2466034
01/11/2011,91.808,104.467354
01/12/2011,91.96,104.6403131
01/01/2012,92.235,104.9532327
01/02/2012,92.364,105.1000205
01/03/2012,92.521,105.2786691
01/04/2012,92.661,105.4379736
01/05/2012,92.755,105.5449353
01/06/2012,92.85,105.6530348
01/07/2012,92.946,105.7622721
01/08/2012,93.005,105.8294076
01/09/2012,93.119,105.959127
01/10/2012,93.345,106.21629
01/11/2012,93.445,106.330079
01/12/2012,93.514,106.4085933
01/01/2013,93.703,106.6236544
01/02/2013,93.805,106.7397192
01/03/2013,93.891,106.8375777
01/04/2013,93.937,106.8899206
01/05/2013,94.047,107.0150884
01/06/2013,94.209,107.1994265
01/07/2013,94.329,107.3359732
01/08/2013,94.431,107.452038
01/09/2013,94.543,107.5794816
01/10/2013,94.703,107.7615439
01/11/2013,94.86,107.9401925
01/12/2013,94.961,108.0551194
01/01/2014,95.064,108.172322
01/02/2014,95.109,108.223527
01/03/2014,95.25,108.3839694
01/04/2014,95.413,108.5694454
01/05/2014,95.574,108.7526456
01/06/2014,95.682,108.8755377
01/07/2014,95.848,109.0644273
01/08/2014,95.885,109.1065292
01/09/2014,96.013,109.2521791
01/10/2014,96.096,109.3466239
01/11/2014,96.181,109.4433445
01/12/2014,96.249,109.520721
01/01/2015,96.214,109.4808948
01/02/2015,96.324,109.6060627
01/03/2015,96.47,109.7721945
01/04/2015,96.648,109.9747389
01/05/2015,96.766,110.1090098
01/06/2015,96.882,110.241005
01/07/2015,96.978,110.3502424
01/08/2015,97.056,110.4389977
01/09/2015,97.196,110.5983023
01/10/2015,97.228,110.6347147
01/11/2015,97.332,110.7530552
01/12/2015,97.396,110.8258802
01/01/2016,97.567,111.0204593
01/02/2016,97.736,111.2127626
01/03/2016,97.876,111.3720671
01/04/2016,98.117,111.6462984
01/05/2016,98.284,111.836326
01/06/2016,98.386,111.9523907
01/07/2016,98.529,112.1151089
01/08/2016,98.703,112.3131017
01/09/2016,98.834,112.4621652
01/10/2016,98.961,112.6066771
01/11/2016,99.005,112.6567443
01/12/2016,99.12,112.7876016
